Date,Open,Adj Close
2007/5/30,20342.96094,20293.75977
2007/5/31,20405.94922,20634.4707
2007/6/1,20717.26953,20602.86914
2007/6/4,20698.99023,20729.58984
2007/6/5,20820.48047,20842.15039
2007/6/6,20850.25977,20818.60938
2007/6/7,20637.90039,20800.16016
2007/6/8,20531.84961,20509.15039
2007/6/11,20649.05078,20615.49023
2007/6/12,20654.4707,20636.39063
2007/6/13,20527.26953,20578.75
2007/6/14,20714.85938,20867.25977
2007/6/15,21024.32031,21017.05078
2007/6/18,21256.28906,21582.89063
2007/6/20,21645.06055,21684.66992
2007/6/21,21784.11914,21954.66992
2007/6/22,21879.5,21999.91016
2007/6/25,21884.09961,21822.34961
2007/6/26,21800.76953,21803.57031
2007/6/27,21775.17969,21705.56055
2007/6/28,21912.78906,21938.2207
2007/6/29,21997.25,21772.73047
2007/7/3,22004.14063,22151.14063
2007/7/4,22279.83008,22218.55078
2007/7/5,22272.81055,22252.99023
2007/7/6,22217.46094,22531.74023
2007/7/9,22719.99023,22817.42969
2007/7/10,22833.4707,22885.83984
2007/7/11,22655.38086,22607.01953
2007/7/12,22797.75,22809.01953
2007/7/13,23199.06055,23099.28906
2007/7/16,23098.66016,22953.93945
2007/7/17,22915.78906,23057.30078
2007/7/18,22956.9707,22841.91992
2007/7/19,22864.75,23016.19922
2007/7/20,23195.41016,23291.90039
2007/7/23,23170.34961,23365.56055
2007/7/24,23459.74023,23472.88086
2007/7/25,23228.56055,23362.17969
2007/7/26,23494.03906,23211.68945
2007/7/27,22647.10938,22570.41016
2007/7/30,22478.76953,22739.90039
2007/7/31,23023.42969,23184.93945
2007/8/1,23018.19922,22455.35938
2007/8/2,22730.40039,22443.25
2007/8/3,22625.38086,22538.43945
2007/8/6,22128.06055,21936.73047
2007/8/7,22171.90039,21907.99023
2007/8/8,22102.75977,22536.66992
2007/8/9,22715.08008,22439.35938
2007/8/10,21797.39063,21792.71094
2007/8/13,21932,21891.09961
2007/8/14,21886.25977,22007.32031
2007/8/15,21637.5,21375.7207
2007/8/16,20841.23047,20672.39063
2007/8/17,20761.31055,20387.13086
2007/8/20,21140.73047,21595.63086
2007/8/21,22228.24023,21729.34961
2007/8/22,21949.39063,22346.88086
2007/8/23,23055.11914,22966.9707
2007/8/24,22718.53906,22921.89063
2007/8/27,23358.38086,23577.73047
2007/8/28,23750.25,23363.75977
2007/8/29,22802.83008,23020.59961
2007/8/30,23509.98047,23484.53906
2007/8/31,23584.66016,23984.14063
2007/9/3,23611.01953,23904.08984
2007/9/4,23937.46094,23886.07031
2007/9/5,24196.58984,24069.16992
2007/9/6,23857.9707,24050.40039
2007/9/7,24036.35938,23982.60938
2007/9/10,23584.07031,23999.69922
2007/9/11,24000.17969,23952.24023
2007/9/12,24195.38086,24310.14063
2007/9/13,24475.9707,24537.01953
2007/9/14,24750.03906,24898.10938
2007/9/17,24977.41992,24599.33984
2007/9/18,24503.83008,24576.84961
2007/9/19,25511.35938,25554.64063
2007/9/20,25638.31055,25701.13086
2007/9/21,25659.96094,25843.7793
2007/9/24,26002.09961,26551.93945
2007/9/25,26388.85938,26430.28906
2007/9/27,26664.78906,27065.15039
2007/9/28,27126.13086,27142.4707
2007/10/2,27816.91992,28199.75
2007/10/3,28163.26953,27479.93945
2007/10/4,27108.26953,26973.98047
2007/10/5,27329.65039,27831.51953
2007/10/8,28233.30078,27770.28906
2007/10/9,27817.10938,28228.03906
2007/10/10,28654.94922,28569.33008
2007/10/11,28689.73047,29133.01953
2007/10/12,28773.06055,28838.36914
2007/10/15,29147.83984,29540.7793
2007/10/16,29238.28906,28954.55078
2007/10/17,28674.26953,29298.71094
2007/10/18,30013.48047,29465.05078
2007/10/22,28336.9707,28373.63086
2007/10/23,28726.96094,29376.85938
2007/10/24,29810.38086,29333.5293
2007/10/25,29660.4707,29854.49023
2007/10/26,30215.19922,30405.2207
2007/10/29,30986.2207,31586.90039
2007/10/30,31361.91016,31638.2207
2007/10/31,31530.96094,31352.58008
2007/11/1,31783.4707,31492.88086
2007/11/2,30580.07031,30468.33984
2007/11/5,30165.7793,28942.32031
2007/11/6,29220.03906,29438.13086
2007/11/7,30054.08008,29708.92969
2007/11/8,28758.7207,28760.2207
2007/11/9,28510.5293,28783.41016
2007/11/12,28061.44922,27665.73047
2007/11/13,27561.57031,27803.34961
2007/11/14,28787.40039,29166.00977
2007/11/15,29078.21094,28751.21094
2007/11/16,28037.17969,27614.42969
2007/11/19,27628.9707,27460.16992
2007/11/20,26583.64063,27771.21094
2007/11/21,27277.7207,26618.18945
2007/11/22,26318.21094,26004.91992
2007/11/23,26484.74023,26541.08984
2007/11/26,27398.5293,27626.61914
2007/11/27,26704.75977,27210.21094
2007/11/28,27315.92969,27371.24023
2007/11/29,28337.10938,28482.53906
2007/11/30,28604.67969,28643.60938
2007/12/3,28825.0293,28658.41992
2007/12/4,28544.17969,28879.58984
2007/12/5,28942.23047,29345.44922
2007/12/6,29769.15039,29558.91992
2007/12/7,29890.64063,28842.4707
2007/12/10,29017.69922,28501.09961
2007/12/11,28947.69922,29226.83984
2007/12/12,28611.64063,28521.06055
2007/12/13,28518.7793,27744.44922
2007/12/14,27708.31055,27563.64063
2007/12/17,27236.44922,26596.58008
2007/12/18,26515.08984,26732.86914
2007/12/19,26880.08984,27029.25977
2007/12/20,27034.59961,27017.08984
2007/12/21,27192.80078,27626.91992
2007/12/24,27965.25,28128.80078
2007/12/27,28337.4707,27842.92969
2007/12/28,27511.53906,27370.59961
2007/12/31,27437.93945,27812.65039
2008/1/2,27632.19922,27560.51953
2008/1/3,27050.0293,26887.2793
2008/1/4,27004.33984,27519.68945
2008/1/7,26962.53906,27179.49023
2008/1/8,27466.96094,27112.90039
2008/1/9,26847.49023,27615.84961
2008/1/10,27426.41992,27230.85938
2008/1/11,27435.50977,26867.00977
2008/1/14,27019.13086,26468.13086
2008/1/15,26728.92969,25837.7793
2008/1/16,25131.10938,24450.84961
2008/1/17,24705.08008,25114.98047
2008/1/18,24247.16992,25201.86914
2008/1/21,24459.01953,23818.85938
2008/1/22,22624.28906,21757.63086
2008/1/23,23359.19922,24090.16992
